fid,DN,_count,_sum,_mean,
1,1,3,0.885613203,0.295204401,0.884267126
2,1,2599,798.0858545,0.307074203,
3,1,23,7.009722278,0.304770534,
4,1,1.222884814,1.003507443,0.820606677,
8,1,0.005966135,0.00489233,0.820016682,
9,1,0.139851868,0.135744392,0.970629811,
10,1,4,2.88137117,0.720342793,
11,1,2,1.971655726,0.985827863,
12,1,2,1.790226042,0.895113021,
13,1,5,4.417612851,0.88352257,
14,1,2,1.555018544,0.777509272,
18,1,15,7.36313732,0.490875821,
20,1,1.632404882,1.773895963,1.086676463,
21,1,17,15.26013088,0.897654758,
22,1,0.135453132,0.140519565,1.037403584,
24,1,0.971597685,0.697263948,0.717646778,
26,1,0.686067268,0.627333763,0.914391041,
29,1,1,1.302120924,1.302120924,
30,1,2,1.549848437,0.774924219,
31,1,0.348522149,0.495134599,1.42066896,
33,1,0.833793409,1.234464425,1.480539918,
34,1,1,0.904536068,0.904536068,
36,1,2,1.780574441,0.89028722,
37,1,0.244689894,0.179982217,0.735552311,
42,1,0.235226276,0.233899985,0.994361639,
43,1,21,18.48966146,0.880460069,
46,1,2,1.001795888,0.500897944,
49,1,51,42.74721074,0.838180603,
53,1,0.105797851,0.067337249,0.636470854,
54,1,2,2.025135994,1.012567997,
55,1,2,1.907434344,0.953717172,
56,1,0.336398455,0.263729243,0.78397876,
57,1,0.197431749,0.175510988,0.888970435,
58,1,0.205618155,0.234792614,1.141886592,
60,1,35,42.87682891,1.225052255,
61,1,0.033827674,0.041543486,1.228091717,
63,1,0.563345508,0.64705052,1.148585567,
64,1,0.38516959,0.35023977,0.909313142,
65,1,0.25755511,0.14834707,0.575981855,
67,1,5,4.969898105,0.993979621,
70,1,0.557443895,0.530238847,0.951196797,
71,1,16,17.01325828,1.063328642,
72,1,0.252467429,0.238770258,0.945746779,
76,1,0.836340613,1.052658072,1.258647561,
79,1,21,24.77364159,1.179697218,
81,1,2,2.653978109,1.326989055,
82,1,0.033088474,0.043645717,1.319061041,
88,1,2,1.946678877,0.973339438,
89,1,0.288086317,0.373498543,1.296481371,
91,1,2,2.662809491,1.331404746,
94,1,1.149917775,1.618966776,1.407897861,
95,1,120,92.38922188,0.769910182,
97,1,1.238738218,1.423040981,1.148782657,
100,1,18,12.09324414,0.671846896,
101,1,1.543141376,1.104815398,0.715952158,
103,1,6,6.313369334,1.052228222,
104,1,1.910791054,1.139371005,0.596282363,
106,1,38,25.91156322,0.681883243,
107,1,4,3.575241983,0.893810496,
108,1,0.982846614,0.750195691,0.763288677,
109,1,7,5.704096556,0.814870937,
110,1,0.6186701,0.763558434,1.234193206,
111,1,0.969145198,0.860686594,0.888088385,
112,1,5,3.021170497,0.604234099,
115,1,5,4.058538377,0.811707675,
116,1,37,33.13764417,0.895612005,
118,1,0.224046402,0.214637656,0.958005367,
119,1,0.015753058,0.012892299,0.818399727,
122,1,0.310794267,0.361519121,1.163210392,
123,1,3,4.258702397,1.419567466,
124,1,0.953099666,0.654639434,0.686853072,
125,1,2,1.471889675,0.735944837,
127,1,1.127776135,0.898372472,0.796587589,
128,1,0.090257703,0.070161734,0.777348995,
129,1,4,4.919128299,1.229782075,
130,1,8,7.236985147,0.904623143,
131,1,4,3.54229337,0.885573342,
132,1,2,1.564929843,0.782464921,
133,1,0.331743353,0.239402612,0.721650064,
134,1,6,4.575605154,0.762600859,
135,1,50778,59886.76478,1.179384079,
137,1,1.173145169,0.90132453,0.768297525,
138,1,0.991869968,0.677036509,0.682585955,
139,1,6,4.358033538,0.726338923,
141,1,1,0.819000006,0.819000006,
144,1,18,21.58289957,1.199049976,
145,1,3,1.787272453,0.595757484,
146,1,2,1.272108674,0.636054337,
148,1,13,8.474806786,0.651908214,
151,1,34,23.99799982,0.705823524,
153,1,8,4.764900029,0.595612504,
154,1,125,126.2307999,1.009846399,
155,1,2,1.858399987,0.929199994,
156,1,7,7.470300019,1.067185717,
158,1,7,4.602113068,0.657444724,
159,1,2,2.124707937,1.062353969,
161,1,238,169.530517,0.712313097,
162,1,1.310147153,0.247384978,0.188822284,
163,1,507,159.6038678,0.314800528,
172,1,13,12.26451373,0.943424133,
173,1,0.789569455,0.603230827,0.763999701,
184,1,278,166.9551508,0.600558096,
